year;day;temperature;humidity ;atmospheric pressure;;;;;TEMPERATURA;UMIDITA;PRESSIONE
2022;11/6;13,5;61;1019,3;;;;MIN;0,3;29;991,9
2022;11/7;13,7;70;1018,9;;;;MAX;31,8;100;1027,8
2022;11/8;15,9;55;1016,1;;;;MEDIA;17,60437158;68,31967213;1011,510929
2022;11/9;14,6;58;1022,2;;;;MODA;16,1;74;1010,1
2022;11/10;15,2;64;1020,1;;;;1QUARTILE;10,325;59;1006,9
2022;11/11;16,1;66;1023,3;;;;MEDIANA;17,7;69;1011,5
2022;11/12;16,6;77;1021,2;;;;3QUARTILE;25,375;79;1016,375
2022;11/13;18;82;1007,9;;;;;;;
2022;11/14;16,1;52;1007,7;;;;;;;
2022;11/15;11,1;93;1007,9;;;;;;;
2022;11/16;12,4;66;1011,3;;;;;TEMPERATURA;UMIDITA;PRESSIONE
2022;11/17;12,8;58;1019,4;;;;MIN;0,3;29;991,9
2022;11/18;13,2;67;1022;;;;MAX;23;99;1027,8
2022;11/19;13,7;61;1021;;;;MEDIA;10,91092896;61,55737705;1014,07377
2022;11/20;11,6;80;1020,9;;;;MODA;16,1;61;1018,9
2022;11/21;13,4;93;1014,8;;;;1QUARTILE;6,6;51;1010,25
2022;11/22;15,4;74;1016,3;;;;MEDIANA;10,3;61;1014,9
2022;11/23;11,7;93;1012,6;;;;3QUARTILE;14,6;70;1018,7
2022;11/24;15,3;66;1007,7;;;;;;;
2022;11/25;13,5;67;1017,8;;;;;;;
2022;11/26;12,7;81;1011,7;;;;;;;
2022;11/27;14,4;54;1014,4;;;;;TEMPERATURA;UMIDITA;PRESSIONE
2022;11/28;11,7;65;1023,8;;;;MIN;12,9;38;997
2022;11/29;16,7;84;1012,6;;;;MAX;31,8;99;1027,8
2022;11/30;16,6;81;1006,4;;;;MEDIA;24,29781421;75,08196721;1008,948087
2022;12/1;10,1;74;1014,5;;;;MODA;28,6;74;1005,6
2022;12/2;9,4;60;1018,4;;;;1QUARTILE;20,15;69;1005,1
2022;12/3;7,8;67;1020,9;;;;MEDIANA;25,4;74;1008,9
2022;12/4;10,2;66;1014,7;;;;3QUARTILE;28,6;81,5;1012
2022;12/5;7,6;78;1016,9;;;;;;;
2022;12/6;6,1;94;1012;;;;;;;
2022;12/7;8,5;71;1012,7;;;;;;;
2022;12/8;9,3;62;1014,8;;;;;;;
2022;12/9;9,3;66;1017,6;;;;;;;
2022;12/10;10,4;65;1013,8;;;;;;;
2022;12/11;9,5;72;1009,9;;;;;;;
2022;12/12;8,2;59;1017,4;;;;;;;
2022;12/13;7,2;87;1009,1;;;;;;;
2022;12/14;9,2;52;1005,1;;;;;;;
2022;12/15;7;47;1011,8;;;;;;;
2022;12/16;8,2;51;1014,9;;;;;;;
2022;12/17;6,7;64;1012,7;;;;;;;
2022;12/18;6,5;57;1003;;;;;;;
2022;12/19;4,9;38;1011,8;;;;;;;
2022;12/20;5,4;48;1018;;;;;;;
2022;12/21;6,5;60;1014,5;;;;;;;
2022;12/22;7,2;86;992,6;;;;;;;
2022;12/23;5,4;29;991,9;;;;;;;
2022;12/24;6,2;42;995,6;;;;;;;
2022;12/25;6,9;49;1002,5;;;;;;;
2022;12/26;6,3;46;1009,8;;;;;;;
2022;12/27;6,8;48;1017,9;;;;;;;
2022;12/28;6,5;61;1018,6;;;;;;;
2022;12/29;8,1;51;1015,6;;;;;;;
2022;12/30;6,6;51;1019,6;;;;;;;
2022;12/31;5,7;60;1019,4;;;;;;;
2023;1/1;6,6;62;1015,8;;;;;;;
2023;1/2;6,2;51;1015,7;;;;;;;
2023;1/3;5,8;42;1015,2;;;;;;;
2023;1/4;5,6;47;1015,2;;;;;;;
2023;1/5;5,9;36;1018,8;;;;;;;
2023;1/6;5,3;47;1017;;;;;;;
2023;1/7;6;59;1010,4;;;;;;;
2023;1/8;7;58;1015,7;;;;;;;
2023;1/9;8;61;1013,5;;;;;;;
2023;1/10;6,3;42;1014,9;;;;;;;
2023;1/11;5,4;52;1021,3;;;;;;;
2023;1/12;6,1;52;1021,2;;;;;;;
2023;1/13;8,7;60;1017,9;;;;;;;
2023;1/14;9,5;81;1004,9;;;;;;;
2023;1/15;10,3;84;1006,9;;;;;;;
2023;1/16;6,3;90;1008;;;;;;;
2023;1/17;4,7;65;1019;;;;;;;
2023;1/18;7,3;64;1013,8;;;;;;;
2023;1/19;6,3;61;1018,3;;;;;;;
2023;1/20;7,6;63;1011,2;;;;;;;
2023;1/21;5,6;37;1018,1;;;;;;;
2023;1/22;4,9;51;1021,5;;;;;;;
2023;1/23;4,5;77;1015,6;;;;;;;
2023;1/24;4,7;61;997,6;;;;;;;
2023;1/25;0,3;30;1011,7;;;;;;;
2023;1/26;3;44;1013,8;;;;;;;
2023;1/27;3,8;59;1004,9;;;;;;;
2023;1/28;3,7;37;1005;;;;;;;
2023;1/29;3,4;50;1010,1;;;;;;;
2023;1/30;4,2;53;1008,5;;;;;;;
2023;1/31;4,6;38;1014,6;;;;;;;
2023;2/1;6,8;47;1010;;;;;;;
2023;2/2;6,4;36;1013,6;;;;;;;
2023;2/3;4,8;47;1016,3;;;;;;;
2023;2/4;6,5;58;1014;;;;;;;
2023;2/5;6,8;55;1018,3;;;;;;;
2023;2/6;7,8;56;1017,5;;;;;;;
2023;2/7;10,5;63;1014,9;;;;;;;
2023;2/8;8,7;70;1013,2;;;;;;;
2023;2/9;6,2;39;1022,7;;;;;;;
2023;2/10;1,9;82;1018,9;;;;;;;
2023;2/11;8,7;61;1015,1;;;;;;;
2023;2/12;11;65;1018,2;;;;;;;
2023;2/13;7,7;87;1006,2;;;;;;;
2023;2/14;5,6;45;1006,7;;;;;;;
2023;2/15;3,5;37;1016,4;;;;;;;
2023;2/16;4,1;48;1024,3;;;;;;;
2023;2/17;5,7;55;1023,3;;;;;;;
2023;2/18;8,9;61;1019;;;;;;;
2023;2/19;11,8;56;1003,1;;;;;;;
2023;2/20;9,7;43;1007;;;;;;;
2023;2/21;4,7;36;1019,1;;;;;;;
2023;2/22;5,5;46;1025,7;;;;;;;
2023;2/23;8,5;53;1017,2;;;;;;;
2023;2/24;8,9;71;1013,6;;;;;;;
2023;2/25;7,5;50;1015,6;;;;;;;
2023;2/26;6;35;1022,8;;;;;;;
2023;2/27;8,7;46;1027,8;;;;;;;
2023;2/28;11,6;51;1023,1;;;;;;;
2023;3/1;13,8;49;1015;;;;;;;
